,Num_satellites,size_data_tight_theory_all_sat001,size_data_tight_theory_all_sat01,TopK_wo_IA_rate001,TopK_wo_IA_rate01,rate_lower001,rate_lower01,rate_sim_main001,rate_sim_main01,size_data_tight_theory_all_sat_q1,TopK_wo_IA_rate_q1,sim_q1
0,4,0.11081706885514465,1.032046875000002,0.11178343949044586,1.125,,,0.10923427547770707,0.9847941878980894,4.0,8.0,4
1,8,0.3296036341444507,2.8623273609375004,0.33535031847133756,3.375,,,0.32253284235668783,2.651225517515924,8.0,24.0,8
2,12,0.6542665119571476,5.364772683073597,0.6707006369426751,6.75,,,0.6346683917197453,4.837471337579618,12.0,48.0,12
3,16,1.082752272309785,8.428464803130213,1.1178343949044587,11.25,,,1.0403365843949046,7.4296522691082805,16.0,80.0,16
4,20,1.613046517134567,11.957784900903889,1.6767515923566878,16.875,,,1.5460688694267517,10.409060708598723,20.0,120.0,20
5,30,3.3713186660893477,22.316541119329383,3.563097133757962,35.859375,,,3.180496815286624,18.744361265923573,30.0,255.0,30
6,40,5.723784791667574,34.16509062320538,6.148089171974522,61.875,,,5.32491162420382,28.071078821656055,40.0,440.0,40
