sats,bound_0.01,noIA,simulated_0.01,bound_0.1,simulated_0.1,IA
4,7.9308397995476705,7.999999999999995,7.817564102564102,7.339000000000015,7.002980891719747,4.0
8,23.588727321107125,23.999999999999993,23.082692307692298,20.3543279,18.853159235668794,8.0
12,46.823859773115515,47.99999999999999,45.421282051282056,38.149494635190024,34.399796178343955,12.0
16,77.48927943140114,80.00000000000001,74.45371794871795,59.93574971114818,52.833082802547764,16.0
20,115.44082196700946,119.99999999999999,110.6474358974359,85.03313707309432,74.01998726114648,20.0
30,241.27499969277613,255.0,227.61846153846153,158.69540351523116,133.29323566878986,30.0
40,409.63382896492726,440.0,381.0876923076922,242.95175554279382,199.61656050955415,40.0
