"round","***6,q=0.5,niid - _step","***6,q=0.5,niid - _step__MIN","***6,q=0.5,niid - _step__MAX","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.5,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.1,niid - _step","***6,q=0.1,niid - _step__MIN","***6,q=0.1,niid - _step__MAX","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***6,q=0.01,niid - _step","***6,q=0.01,niid - _step__MIN","***6,q=0.01,niid - _step__MAX","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***6,q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4,q=0.1,niid - _step","***4,q=0.1,niid - _step__MIN","***4,q=0.1,niid - _step__MAX","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MIN","***4,q=0.1,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.01,niid - _step","***4, q=0.01,niid - _step__MIN","***4, q=0.01,niid - _step__MAX","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.01,niid - Upload_Bits_each_Orbit_Spar__MAX","***4, q=0.5, niid - _step","***4, q=0.5, niid - _step__MIN","***4, q=0.5, niid - _step__MAX","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MIN","***4, q=0.5, niid - Upload_Bits_each_Orbit_Spar__MAX"
"12","36","36","36","2205826.1338315643","2205826.1338315643","2205826.1338315643","36","36","36","684983.2601849465","684983.2601849465","684983.2601849465","36","36","36","77323.16932335969","77323.16932335969","77323.16932335969","36","36","36","406619.8506208517","406619.8506208517","406619.8506208517","36","36","36","43393.30099340782","43393.30099340782","43393.30099340782","36","36","36","1416822.0528255408","1416822.0528255408","1416822.0528255408"
"13","39","39","39","2209519.1807246204","2209519.1807246204","2209519.1807246204","39","39","39","686137.3373390265","686137.3373390265","686137.3373390265","39","39","39","77784.80018499168","77784.80018499168","77784.80018499168","39","39","39","407773.92777493165","407773.92777493165","407773.92777493165","39","39","39","44778.19357830381","44778.19357830381","44778.19357830381","39","39","39","1414360.0215635034","1414360.0215635034","1414360.0215635034"
"14","42","42","42","2202363.902369324","2202363.902369324","2202363.902369324","42","42","42","688060.7992624932","688060.7992624932","688060.7992624932","42","42","42","80246.831447029","80246.831447029","80246.831447029","42","42","42","411082.2822832943","411082.2822832943","411082.2822832943","42","42","42","45009.009009119814","45009.009009119814","45009.009009119814","42","42","42","1414360.0215635034","1414360.0215635034","1414360.0215635034"
"15","45","45","45","2204210.4258158524","2204210.4258158524","2204210.4258158524","45","45","45","687368.3529700452","687368.3529700452","687368.3529700452","45","45","45","79169.69276988768","79169.69276988768","79169.69276988768","45","45","45","406696.7890977903","406696.7890977903","406696.7890977903","45","45","45","44624.31662442649","44624.31662442649","44624.31662442649","45","45","45","1413821.4522249328","1413821.4522249328","1413821.4522249328"
"16","48","48","48","2199517.1787225935","2199517.1787225935","2199517.1787225935","48","48","48","689445.6918473892","689445.6918473892","689445.6918473892","48","48","48","78861.93886213301","78861.93886213301","78861.93886213301","48","48","48","406235.1582361583","406235.1582361583","406235.1582361583","48","48","48","44932.07053218115","44932.07053218115","44932.07053218115","48","48","48","1415667.9756714609","1415667.9756714609","1415667.9756714609"
"17","51","51","51","2209211.426816866","2209211.426816866","2209211.426816866","51","51","51","686675.9066775972","686675.9066775972","686675.9066775972","51","51","51","79708.26210845834","79708.26210845834","79708.26210845834","51","51","51","409466.5742675823","409466.5742675823","409466.5742675823","51","51","51","44085.74728585582","44085.74728585582","44085.74728585582","51","51","51","1416822.0528255408","1416822.0528255408","1416822.0528255408"
"18","54","54","54","2203979.610385036","2203979.610385036","2203979.610385036","54","54","54","688368.5531702478","688368.5531702478","688368.5531702478","54","54","54","80477.646877845","80477.646877845","80477.646877845","54","54","54","408004.7432057477","408004.7432057477","408004.7432057477","54","54","54","44855.13205524248","44855.13205524248","44855.13205524248","54","54","54","1416591.237394725","1416591.237394725","1416591.237394725"
"19","57","57","57","2204672.0566774844","2204672.0566774844","2204672.0566774844","57","57","57","690830.5844322852","690830.5844322852","690830.5844322852","57","57","57","79939.07753927434","79939.07753927434","79939.07753927434","57","57","57","406850.66605166765","406850.66605166765","406850.66605166765","57","57","57","45085.94748605848","45085.94748605848","45085.94748605848","57","57","57","1415360.2217637063","1415360.2217637063","1415360.2217637063"
"20","60","60","60","2205749.1953546256","2205749.1953546256","2205749.1953546256","60","60","60","691753.8461555492","691753.8461555492","691753.8461555492","60","60","60","81323.97012417033","81323.97012417033","81323.97012417033","60","60","60","409004.9434059503","409004.9434059503","409004.9434059503","60","60","60","44624.31662442649","44624.31662442649","44624.31662442649","60","60","60","1418668.5762720688","1418668.5762720688","1418668.5762720688"
"21","63","63","63","2207211.02641646","2207211.02641646","2207211.02641646","63","63","63","694062.0004637091","694062.0004637091","694062.0004637091","63","63","63","80862.33926253833","80862.33926253833","80862.33926253833","63","63","63","406542.912143913","406542.912143913","406542.912143913","63","63","63","45855.332255445144","45855.332255445144","45855.332255445144","63","63","63","1417899.1915026822","1417899.1915026822","1417899.1915026822"
