"round","strict_12_q0.01 - _step","strict_12_q0.01 - _step__MIN","strict_12_q0.01 - _step__MAX","strict_12_q0.01 - length_unique","strict_12_q0.01 - length_unique__MIN","strict_12_q0.01 - length_unique__MAX","strict_12_q0.1 - _step","strict_12_q0.1 - _step__MIN","strict_12_q0.1 - _step__MAX","strict_12_q0.1 - length_unique","strict_12_q0.1 - length_unique__MIN","strict_12_q0.1 - length_unique__MAX","strict_12_q0.5 - _step","strict_12_q0.5 - _step__MIN","strict_12_q0.5 - _step__MAX","strict_12_q0.5 - length_unique","strict_12_q0.5 - length_unique__MIN","strict_12_q0.5 - length_unique__MAX","strict_8_q0.01 - _step","strict_8_q0.01 - _step__MIN","strict_8_q0.01 - _step__MAX","strict_8_q0.01 - length_unique","strict_8_q0.01 - length_unique__MIN","strict_8_q0.01 - length_unique__MAX","strict_8_q0.1 - _step","strict_8_q0.1 - _step__MIN","strict_8_q0.1 - _step__MAX","strict_8_q0.1 - length_unique","strict_8_q0.1 - length_unique__MIN","strict_8_q0.1 - length_unique__MAX","strict_8_q0.5 - _step","strict_8_q0.5 - _step__MIN","strict_8_q0.5 - _step__MAX","strict_8_q0.5 - length_unique","strict_8_q0.5 - length_unique__MIN","strict_8_q0.5 - length_unique__MAX","strict_4_q0.01 - _step","strict_4_q0.01 - _step__MIN","strict_4_q0.01 - _step__MAX","strict_4_q0.01 - length_unique","strict_4_q0.01 - length_unique__MIN","strict_4_q0.01 - length_unique__MAX","strict_4_q0.1 - _step","strict_4_q0.1 - _step__MIN","strict_4_q0.1 - _step__MAX","strict_4_q0.1 - length_unique","strict_4_q0.1 - length_unique__MIN","strict_4_q0.1 - length_unique__MAX","strict_4_q0.5 - _step","strict_4_q0.5 - _step__MIN","strict_4_q0.5 - _step__MAX","strict_4_q0.5 - length_unique","strict_4_q0.5 - length_unique__MIN","strict_4_q0.5 - length_unique__MAX"
"78","313","313","313","845","845","845","313","313","313","4432","4432","4432","313","313","313","6693","6693","6693","313","313","313","595","595","595","313","313","313","3692","3692","3692","313","313","313","6469","6469","6469","313","313","313","307","307","307","313","313","313","2491","2491","2491","313","313","313","5998","5998","5998"
"79","317","317","317","845","845","845","317","317","317","4469","4469","4469","317","317","317","6635","6635","6635","317","317","317","586","586","586","317","317","317","3699","3699","3699","317","317","317","6482","6482","6482","317","317","317","304","304","304","317","317","317","2470","2470","2470","317","317","317","6042","6042","6042"
"80","321","321","321","835","835","835","321","321","321","4381","4381","4381","321","321","321","6718","6718","6718","321","321","321","575","575","575","321","321","321","3661","3661","3661","321","321","321","6505","6505","6505","321","321","321","305","305","305","321","321","321","2460","2460","2460","321","321","321","6017","6017","6017"
"81","325","325","325","845","845","845","325","325","325","4462","4462","4462","325","325","325","6671","6671","6671","325","325","325","577","577","577","325","325","325","3727","3727","3727","325","325","325","6475","6475","6475","325","325","325","298","298","298","325","325","325","2515","2515","2515","325","325","325","6027","6027","6027"
"82","329","329","329","831","831","831","329","329","329","4432","4432","4432","329","329","329","6669","6669","6669","329","329","329","567","567","567","329","329","329","3699","3699","3699","329","329","329","6499","6499","6499","329","329","329","301","301","301","329","329","329","2503","2503","2503","329","329","329","6040","6040","6040"
"83","333","333","333","856","856","856","333","333","333","4451","4451","4451","333","333","333","6676","6676","6676","333","333","333","581","581","581","333","333","333","3753","3753","3753","333","333","333","6463","6463","6463","333","333","333","306","306","306","333","333","333","2500","2500","2500","333","333","333","6032","6032","6032"
"84","337","337","337","842","842","842","337","337","337","4455","4455","4455","337","337","337","6648","6648","6648","337","337","337","579","579","579","337","337","337","3723","3723","3723","337","337","337","6489","6489","6489","337","337","337","304","304","304","337","337","337","2436","2436","2436","337","337","337","6032","6032","6032"
"85","341","341","341","859","859","859","341","341","341","4470","4470","4470","341","341","341","6629","6629","6629","341","341","341","588","588","588","341","341","341","3706","3706","3706","341","341","341","6516","6516","6516","341","341","341","302","302","302","341","341","341","2492","2492","2492","341","341","341","6026","6026","6026"
"86","345","345","345","852","852","852","345","345","345","4407","4407","4407","345","345","345","6685","6685","6685","345","345","345","584","584","584","345","345","345","3670","3670","3670","345","345","345","6494","6494","6494","345","345","345","306","306","306","345","345","345","2468","2468","2468","345","345","345","6008","6008","6008"
"87","349","349","349","841","841","841","349","349","349","4509","4509","4509","349","349","349","6669","6669","6669","349","349","349","582","582","582","349","349","349","3747","3747","3747","349","349","349","6480","6480","6480","349","349","349","301","301","301","349","349","349","2525","2525","2525","349","349","349","6052","6052","6052"
"88","353","353","353","833","833","833","353","353","353","4406","4406","4406","353","353","353","6680","6680","6680","353","353","353","596","596","596","353","353","353","3697","3697","3697","353","353","353","6536","6536","6536","353","353","353","305","305","305","353","353","353","2452","2452","2452","353","353","353","5989","5989","5989"
"89","357","357","357","837","837","837","357","357","357","4415","4415","4415","357","357","357","6643","6643","6643","357","357","357","585","585","585","357","357","357","3687","3687","3687","357","357","357","6454","6454","6454","357","357","357","301","301","301","357","357","357","2472","2472","2472","357","357","357","6003","6003","6003"
"90","361","361","361","840","840","840","361","361","361","4429","4429","4429","361","361","361","6689","6689","6689","361","361","361","581","581","581","361","361","361","3664","3664","3664","361","361","361","6484","6484","6484","361","361","361","305","305","305","361","361","361","2448","2448","2448","361","361","361","6001","6001","6001"
"91","365","365","365","838","838","838","365","365","365","4474","4474","4474","365","365","365","6686","6686","6686","365","365","365","581","581","581","365","365","365","3697","3697","3697","365","365","365","6464","6464","6464","365","365","365","304","304","304","365","365","365","2479","2479","2479","365","365","365","6070","6070","6070"
"92","369","369","369","840","840","840","369","369","369","4449","4449","4449","369","369","369","6712","6712","6712","369","369","369","573","573","573","369","369","369","3710","3710","3710","369","369","369","6481","6481","6481","369","369","369","305","305","305","369","369","369","2455","2455","2455","369","369","369","6024","6024","6024"
"93","373","373","373","842","842","842","373","373","373","4508","4508","4508","373","373","373","6661","6661","6661","373","373","373","580","580","580","373","373","373","3699","3699","3699","373","373","373","6456","6456","6456","373","373","373","305","305","305","373","373","373","2514","2514","2514","373","373","373","6054","6054","6054"
"94","377","377","377","834","834","834","377","377","377","4418","4418","4418","377","377","377","6657","6657","6657","377","377","377","582","582","582","377","377","377","3637","3637","3637","377","377","377","6522","6522","6522","377","377","377","307","307","307","377","377","377","2483","2483","2483","377","377","377","6002","6002","6002"
"95","381","381","381","838","838","838","381","381","381","4457","4457","4457","381","381","381","6637","6637","6637","381","381","381","574","574","574","381","381","381","3729","3729","3729","381","381","381","6450","6450","6450","381","381","381","302","302","302","381","381","381","2474","2474","2474","381","381","381","6049","6049","6049"
"96","385","385","385","847","847","847","385","385","385","4466","4466","4466","385","385","385","6734","6734","6734","385","385","385","583","583","583","385","385","385","3725","3725","3725","385","385","385","6503","6503","6503","385","385","385","306","306","306","385","385","385","2451","2451","2451","385","385","385","5989","5989","5989"
"97","389","389","389","830","830","830","389","389","389","4437","4437","4437","389","389","389","6660","6660","6660","389","389","389","581","581","581","389","389","389","3736","3736","3736","389","389","389","6466","6466","6466","389","389","389","308","308","308","389","389","389","2493","2493","2493","389","389","389","6004","6004","6004"
"98","393","393","393","829","829","829","393","393","393","4450","4450","4450","393","393","393","6683","6683","6683","393","393","393","580","580","580","393","393","393","3668","3668","3668","393","393","393","6519","6519","6519","393","393","393","308","308","308","393","393","393","2470","2470","2470","393","393","393","5987","5987","5987"
"99","397","397","397","842","842","842","397","397","397","4528","4528","4528","397","397","397","6677","6677","6677","397","397","397","582","582","582","397","397","397","3739","3739","3739","397","397","397","6470","6470","6470","397","397","397","307","307","307","397","397","397","2482","2482","2482","397","397","397","6038","6038","6038"
"100","401","401","401","848","848","848","401","401","401","4432","4432","4432","401","401","401","6704","6704","6704","401","401","401","579","579","579","401","401","401","3693","3693","3693","401","401","401","6506","6506","6506","401","401","401","301","301","301","401","401","401","2460","2460","2460","401","401","401","6013","6013","6013"
"101","405","405","405","834","834","834","405","405","405","4471","4471","4471","405","405","405","6661","6661","6661","405","405","405","580","580","580","405","405","405","3687","3687","3687","405","405","405","6428","6428","6428","405","405","405","305","305","305","405","405","405","2491","2491","2491","405","405","405","6031","6031","6031"
"102","409","409","409","838","838","838","409","409","409","4442","4442","4442","409","409","409","6699","6699","6699","409","409","409","589","589","589","409","409","409","3742","3742","3742","409","409","409","6507","6507","6507","409","409","409","305","305","305","409","409","409","2453","2453","2453","409","409","409","6002","6002","6002"
"103","413","413","413","837","837","837","413","413","413","4482","4482","4482","413","413","413","6677","6677","6677","413","413","413","589","589","589","413","413","413","3735","3735","3735","413","413","413","6471","6471","6471","413","413","413","303","303","303","413","413","413","2488","2488","2488","413","413","413","6041","6041","6041"
"104","417","417","417","841","841","841","417","417","417","4354","4354","4354","417","417","417","6663","6663","6663","417","417","417","581","581","581","417","417","417","3676","3676","3676","417","417","417","6491","6491","6491","417","417","417","305","305","305","417","417","417","2448","2448","2448","417","417","417","6017","6017","6017"
"105","421","421","421","861","861","861","421","421","421","4517","4517","4517","421","421","421","6663","6663","6663","421","421","421","587","587","587","421","421","421","3701","3701","3701","421","421","421","6455","6455","6455","421","421","421","306","306","306","421","421","421","2503","2503","2503","421","421","421","6045","6045","6045"
"106","425","425","425","840","840","840","425","425","425","4454","4454","4454","425","425","425","6675","6675","6675","425","425","425","577","577","577","425","425","425","3680","3680","3680","425","425","425","6463","6463","6463","425","425","425","304","304","304","425","425","425","2468","2468","2468","425","425","425","6021","6021","6021"
"107","429","429","429","845","845","845","429","429","429","4491","4491","4491","429","429","429","6668","6668","6668","429","429","429","583","583","583","429","429","429","3717","3717","3717","429","429","429","6469","6469","6469","429","429","429","301","301","301","429","429","429","2500","2500","2500","429","429","429","6012","6012","6012"
"108","433","433","433","845","845","845","433","433","433","4437","4437","4437","433","433","433","6695","6695","6695","433","433","433","576","576","576","433","433","433","3698","3698","3698","433","433","433","6529","6529","6529","433","433","433","294","294","294","433","433","433","2435","2435","2435","433","433","433","5983","5983","5983"
"109","437","437","437","835","835","835","437","437","437","4461","4461","4461","437","437","437","6667","6667","6667","437","437","437","589","589","589","437","437","437","3714","3714","3714","437","437","437","6471","6471","6471","437","437","437","300","300","300","437","437","437","2476","2476","2476","437","437","437","6056","6056","6056"
"110","441","441","441","859","859","859","441","441","441","4420","4420","4420","441","441","441","6698","6698","6698","441","441","441","579","579","579","441","441","441","3682","3682","3682","441","441","441","6496","6496","6496","441","441","441","307","307","307","441","441","441","2462","2462","2462","441","441","441","6028","6028","6028"
"111","445","445","445","825","825","825","445","445","445","4524","4524","4524","445","445","445","6701","6701","6701","445","445","445","580","580","580","445","445","445","3701","3701","3701","445","445","445","6464","6464","6464","445","445","445","308","308","308","445","445","445","2505","2505","2505","445","445","445","6052","6052","6052"
"112","449","449","449","819","819","819","449","449","449","4433","4433","4433","449","449","449","6706","6706","6706","449","449","449","589","589","589","449","449","449","3713","3713","3713","449","449","449","6507","6507","6507","449","449","449","304","304","304","449","449","449","2477","2477","2477","449","449","449","5989","5989","5989"
"113","453","453","453","852","852","852","453","453","453","4492","4492","4492","453","453","453","6664","6664","6664","453","453","453","590","590","590","453","453","453","3736","3736","3736","453","453","453","6459","6459","6459","453","453","453","299","299","299","453","453","453","2459","2459","2459","453","453","453","6013","6013","6013"
"114","457","457","457","828","828","828","457","457","457","4466","4466","4466","457","457","457","6717","6717","6717","457","457","457","584","584","584","457","457","457","3670","3670","3670","457","457","457","6507","6507","6507","457","457","457","304","304","304","457","457","457","2483","2483","2483","457","457","457","5987","5987","5987"
"115","461","461","461","836","836","836","461","461","461","4451","4451","4451","461","461","461","6672","6672","6672","461","461","461","580","580","580","461","461","461","3680","3680","3680","461","461","461","6456","6456","6456","461","461","461","309","309","309","461","461","461","2488","2488","2488","461","461","461","6029","6029","6029"
"116","465","465","465","851","851","851","465","465","465","4424","4424","4424","465","465","465","6668","6668","6668","465","465","465","579","579","579","465","465","465","3686","3686","3686","465","465","465","6504","6504","6504","465","465","465","308","308","308","465","465","465","2450","2450","2450","465","465","465","6031","6031","6031"
"117","469","469","469","851","851","851","469","469","469","4494","4494","4494","469","469","469","6653","6653","6653","469","469","469","581","581","581","469","469","469","3750","3750","3750","469","469","469","6471","6471","6471","469","469","469","308","308","308","469","469","469","2501","2501","2501","469","469","469","6035","6035","6035"
"118","473","473","473","853","853","853","473","473","473","4422","4422","4422","473","473","473","6710","6710","6710","473","473","473","574","574","574","473","473","473","3696","3696","3696","473","473","473","6479","6479","6479","473","473","473","308","308","308","473","473","473","2485","2485","2485","473","473","473","5994","5994","5994"
"119","477","477","477","852","852","852","477","477","477","4441","4441","4441","477","477","477","6660","6660","6660","477","477","477","577","577","577","477","477","477","3694","3694","3694","477","477","477","6455","6455","6455","477","477","477","303","303","303","477","477","477","2477","2477","2477","477","477","477","6020","6020","6020"
"120","481","481","481","839","839","839","481","481","481","4439","4439","4439","481","481","481","6696","6696","6696","481","481","481","585","585","585","481","481","481","3681","3681","3681","481","481","481","6493","6493","6493","481","481","481","305","305","305","481","481","481","2441","2441","2441","481","481","481","5991","5991","5991"
"121","485","485","485","853","853","853","485","485","485","4494","4494","4494","485","485","485","6647","6647","6647","485","485","485","586","586","586","485","485","485","3698","3698","3698","485","485","485","6447","6447","6447","485","485","485","303","303","303","485","485","485","2487","2487","2487","485","485","485","6030","6030","6030"
"122","489","489","489","845","845","845","489","489","489","4464","4464","4464","489","489","489","6697","6697","6697","489","489","489","587","587","587","489","489","489","3697","3697","3697","489","489","489","6484","6484","6484","489","489","489","302","302","302","489","489","489","2484","2484","2484","489","489","489","6014","6014","6014"
"123","493","493","493","839","839","839","493","493","493","4554","4554","4554","493","493","493","6639","6639","6639","493","493","493","582","582","582","493","493","493","3711","3711","3711","493","493","493","6453","6453","6453","493","493","493","302","302","302","493","493","493","2479","2479","2479","493","493","493","6052","6052","6052"
"124","497","497","497","846","846","846","497","497","497","4417","4417","4417","497","497","497","6721","6721","6721","497","497","497","588","588","588","497","497","497","3687","3687","3687","497","497","497","6474","6474","6474","497","497","497","306","306","306","497","497","497","2463","2463","2463","497","497","497","6010","6010","6010"
"125","501","501","501","850","850","850","501","501","501","4477","4477","4477","501","501","501","6662","6662","6662","501","501","501","579","579","579","501","501","501","3737","3737","3737","501","501","501","6422","6422","6422","501","501","501","308","308","308","501","501","501","2471","2471","2471","501","501","501","6011","6011","6011"
"126","505","505","505","857","857","857","505","505","505","4475","4475","4475","505","505","505","6684","6684","6684","505","505","505","584","584","584","505","505","505","3699","3699","3699","505","505","505","6454","6454","6454","505","505","505","308","308","308","505","505","505","2477","2477","2477","505","505","505","6005","6005","6005"
"127","509","509","509","839","839","839","509","509","509","4488","4488","4488","509","509","509","6685","6685","6685","509","509","509","583","583","583","509","509","509","3752","3752","3752","509","509","509","6446","6446","6446","509","509","509","301","301","301","509","509","509","2496","2496","2496","509","509","509","6050","6050","6050"
"128","513","513","513","826","826","826","513","513","513","4394","4394","4394","513","513","513","6655","6655","6655","513","513","513","584","584","584","513","513","513","3628","3628","3628","513","513","513","6521","6521","6521","513","513","513","305","305","305","513","513","513","2435","2435","2435","513","513","513","6012","6012","6012"
"129","517","517","517","841","841","841","517","517","517","4506","4506","4506","517","517","517","6668","6668","6668","517","517","517","574","574","574","517","517","517","3710","3710","3710","517","517","517","6492","6492","6492","517","517","517","306","306","306","517","517","517","2465","2465","2465","517","517","517","6028","6028","6028"
"130","521","521","521","838","838","838","521","521","521","4445","4445","4445","521","521","521","6694","6694","6694","521","521","521","585","585","585","521","521","521","3679","3679","3679","521","521","521","6493","6493","6493","521","521","521","309","309","309","521","521","521","2470","2470","2470","521","521","521","5997","5997","5997"
"131","525","525","525","854","854","854","525","525","525","4477","4477","4477","525","525","525","6686","6686","6686","525","525","525","582","582","582","525","525","525","3693","3693","3693","525","525","525","6468","6468","6468","525","525","525","306","306","306","525","525","525","2484","2484","2484","525","525","525","6046","6046","6046"
"132","529","529","529","863","863","863","529","529","529","4428","4428","4428","529","529","529","6694","6694","6694","529","529","529","587","587","587","529","529","529","3704","3704","3704","529","529","529","6497","6497","6497","529","529","529","302","302","302","529","529","529","2452","2452","2452","529","529","529","5987","5987","5987"
"133","533","533","533","858","858","858","533","533","533","4514","4514","4514","533","533","533","6664","6664","6664","533","533","533","590","590","590","533","533","533","3703","3703","3703","533","533","533","6452","6452","6452","533","533","533","306","306","306","533","533","533","2503","2503","2503","533","533","533","6027","6027","6027"
"134","537","537","537","841","841","841","537","537","537","4439","4439","4439","537","537","537","6674","6674","6674","537","537","537","587","587","587","537","537","537","3695","3695","3695","537","537","537","6480","6480","6480","537","537","537","304","304","304","537","537","537","2463","2463","2463","537","537","537","6046","6046","6046"
"135","541","541","541","840","840","840","541","541","541","4523","4523","4523","541","541","541","6667","6667","6667","541","541","541","593","593","593","541","541","541","3734","3734","3734","541","541","541","6471","6471","6471","541","541","541","301","301","301","541","541","541","2477","2477","2477","541","541","541","6019","6019","6019"
"136","545","545","545","851","851","851","545","545","545","4406","4406","4406","545","545","545","6698","6698","6698","545","545","545","592","592","592","545","545","545","3612","3612","3612","545","545","545","6527","6527","6527","545","545","545","303","303","303","545","545","545","2478","2478","2478","545","545","545","6013","6013","6013"
"137","549","549","549","838","838","838","549","549","549","4412","4412","4412","549","549","549","6686","6686","6686","549","549","549","576","576","576","549","549","549","3735","3735","3735","549","549","549","6443","6443","6443","549","549","549","302","302","302","549","549","549","2450","2450","2450","549","549","549","6041","6041","6041"
"138","553","553","553","816","816","816","553","553","553","4444","4444","4444","553","553","553","6696","6696","6696","553","553","553","585","585","585","553","553","553","3694","3694","3694","553","553","553","6479","6479","6479","553","553","553","302","302","302","553","553","553","2455","2455","2455","553","553","553","5998","5998","5998"
"139","557","557","557","844","844","844","557","557","557","4483","4483","4483","557","557","557","6638","6638","6638","557","557","557","581","581","581","557","557","557","3683","3683","3683","557","557","557","6466","6466","6466","557","557","557","308","308","308","557","557","557","2485","2485","2485","557","557","557","6030","6030","6030"
"140","561","561","561","852","852","852","561","561","561","4444","4444","4444","561","561","561","6722","6722","6722","561","561","561","586","586","586","561","561","561","3647","3647","3647","561","561","561","6469","6469","6469","561","561","561","306","306","306","561","561","561","2487","2487","2487","561","561","561","5994","5994","5994"
"141","565","565","565","845","845","845","565","565","565","4517","4517","4517","565","565","565","6655","6655","6655","565","565","565","581","581","581","565","565","565","3711","3711","3711","565","565","565","6454","6454","6454","565","565","565","305","305","305","565","565","565","2506","2506","2506","565","565","565","6060","6060","6060"
"142","569","569","569","844","844","844","569","569","569","4433","4433","4433","569","569","569","6670","6670","6670","569","569","569","587","587","587","569","569","569","3721","3721","3721","569","569","569","6466","6466","6466","569","569","569","308","308","308","569","569","569","2490","2490","2490","569","569","569","6015","6015","6015"
"143","573","573","573","844","844","844","573","573","573","4464","4464","4464","573","573","573","6698","6698","6698","573","573","573","586","586","586","573","573","573","3738","3738","3738","573","573","573","6441","6441","6441","573","573","573","303","303","303","573","573","573","2435","2435","2435","573","573","573","6037","6037","6037"
"144","577","577","577","850","850","850","577","577","577","4412","4412","4412","577","577","577","6665","6665","6665","577","577","577","590","590","590","577","577","577","3626","3626","3626","577","577","577","6500","6500","6500","577","577","577","304","304","304","577","577","577","2464","2464","2464","577","577","577","5990","5990","5990"
"145","581","581","581","849","849","849","581","581","581","4463","4463","4463","581","581","581","6683","6683","6683","581","581","581","589","589","589","581","581","581","3744","3744","3744","581","581","581","6428","6428","6428","581","581","581","302","302","302","581","581","581","2515","2515","2515","581","581","581","6019","6019","6019"
"146","585","585","585","839","839","839","585","585","585","4417","4417","4417","585","585","585","6705","6705","6705","585","585","585","579","579","579","585","585","585","3707","3707","3707","585","585","585","6488","6488","6488","585","585","585","305","305","305","585","585","585","2473","2473","2473","585","585","585","6007","6007","6007"
"147","589","589","589","840","840","840","589","589","589","4508","4508","4508","589","589","589","6688","6688","6688","589","589","589","596","596","596","589","589","589","3785","3785","3785","589","589","589","6465","6465","6465","589","589","589","302","302","302","589","589","589","2476","2476","2476","589","589","589","6009","6009","6009"
"148","593","593","593","844","844","844","593","593","593","4406","4406","4406","593","593","593","6733","6733","6733","593","593","593","595","595","595","593","593","593","3667","3667","3667","593","593","593","6472","6472","6472","593","593","593","305","305","305","593","593","593","2442","2442","2442","593","593","593","6004","6004","6004"
"149","597","597","597","837","837","837","597","597","597","4476","4476","4476","597","597","597","6678","6678","6678","597","597","597","576","576","576","597","597","597","3744","3744","3744","597","597","597","6438","6438","6438","597","597","597","305","305","305","597","597","597","2483","2483","2483","597","597","597","6038","6038","6038"
"150","601","601","601","837","837","837","601","601","601","4452","4452","4452","601","601","601","6679","6679","6679","601","601","601","573","573","573","601","601","601","3678","3678","3678","601","601","601","6473","6473","6473","601","601","601","303","303","303","601","601","601","2464","2464","2464","601","601","601","5994","5994","5994"
"151","605","605","605","826","826","826","605","605","605","4494","4494","4494","605","605","605","6655","6655","6655","605","605","605","589","589","589","605","605","605","3713","3713","3713","605","605","605","6452","6452","6452","605","605","605","304","304","304","605","605","605","2481","2481","2481","605","605","605","6018","6018","6018"
"152","609","609","609","832","832","832","609","609","609","4434","4434","4434","609","609","609","6681","6681","6681","609","609","609","589","589","589","609","609","609","3719","3719","3719","609","609","609","6492","6492","6492","609","609","609","302","302","302","609","609","609","2480","2480","2480","609","609","609","6001","6001","6001"
"153","613","613","613","844","844","844","613","613","613","4460","4460","4460","613","613","613","6690","6690","6690","613","613","613","586","586","586","613","613","613","3734","3734","3734","613","613","613","6464","6464","6464","613","613","613","303","303","303","613","613","613","2500","2500","2500","613","613","613","6016","6016","6016"
"154","617","617","617","844","844","844","617","617","617","4403","4403","4403","617","617","617","6675","6675","6675","617","617","617","586","586","586","617","617","617","3699","3699","3699","617","617","617","6508","6508","6508","617","617","617","303","303","303","617","617","617","2452","2452","2452","617","617","617","6000","6000","6000"
"155","621","621","621","833","833","833","621","621","621","4524","4524","4524","621","621","621","6639","6639","6639","621","621","621","581","581","581","621","621","621","3699","3699","3699","621","621","621","6445","6445","6445","621","621","621","301","301","301","621","621","621","2476","2476","2476","621","621","621","6041","6041","6041"
"156","625","625","625","847","847","847","625","625","625","4470","4470","4470","625","625","625","6649","6649","6649","625","625","625","583","583","583","625","625","625","3695","3695","3695","625","625","625","6493","6493","6493","625","625","625","303","303","303","625","625","625","2482","2482","2482","625","625","625","6011","6011","6011"
"157","629","629","629","844","844","844","629","629","629","4478","4478","4478","629","629","629","6653","6653","6653","629","629","629","583","583","583","629","629","629","3739","3739","3739","629","629","629","6437","6437","6437","629","629","629","299","299","299","629","629","629","2480","2480","2480","629","629","629","6016","6016","6016"
"158","633","633","633","831","831","831","633","633","633","4401","4401","4401","633","633","633","6680","6680","6680","633","633","633","592","592","592","633","633","633","3703","3703","3703","633","633","633","6480","6480","6480","633","633","633","307","307","307","633","633","633","2438","2438","2438","633","633","633","6003","6003","6003"
"159","637","637","637","821","821","821","637","637","637","4459","4459","4459","637","637","637","6653","6653","6653","637","637","637","590","590","590","637","637","637","3773","3773","3773","637","637","637","6484","6484","6484","637","637","637","306","306","306","637","637","637","2473","2473","2473","637","637","637","6058","6058","6058"
"160","641","641","641","851","851","851","641","641","641","4402","4402","4402","641","641","641","6660","6660","6660","641","641","641","577","577","577","641","641","641","3655","3655","3655","641","641","641","6484","6484","6484","641","641","641","300","300","300","641","641","641","2454","2454","2454","641","641","641","6001","6001","6001"
"161","645","645","645","838","838","838","645","645","645","4472","4472","4472","645","645","645","6646","6646","6646","645","645","645","584","584","584","645","645","645","3749","3749","3749","645","645","645","6450","6450","6450","645","645","645","304","304","304","645","645","645","2505","2505","2505","645","645","645","6047","6047","6047"
"162","649","649","649","835","835","835","649","649","649","4453","4453","4453","649","649","649","6706","6706","6706","649","649","649","580","580","580","649","649","649","3734","3734","3734","649","649","649","6491","6491","6491","649","649","649","308","308","308","649","649","649","2459","2459","2459","649","649","649","6012","6012","6012"
"163","653","653","653","835","835","835","653","653","653","4524","4524","4524","653","653","653","6653","6653","6653","653","653","653","593","593","593","653","653","653","3721","3721","3721","653","653","653","6440","6440","6440","653","653","653","305","305","305","653","653","653","2475","2475","2475","653","653","653","6030","6030","6030"
"164","657","657","657","830","830","830","657","657","657","4422","4422","4422","657","657","657","6658","6658","6658","657","657","657","578","578","578","657","657","657","3725","3725","3725","657","657","657","6513","6513","6513","657","657","657","306","306","306","657","657","657","2463","2463","2463","657","657","657","5988","5988","5988"
"165","661","661","661","829","829","829","661","661","661","4461","4461","4461","661","661","661","6652","6652","6652","661","661","661","588","588","588","661","661","661","3711","3711","3711","661","661","661","6449","6449","6449","661","661","661","305","305","305","661","661","661","2484","2484","2484","661","661","661","6036","6036","6036"
"166","665","665","665","853","853","853","665","665","665","4390","4390","4390","665","665","665","6679","6679","6679","665","665","665","588","588","588","665","665","665","3645","3645","3645","665","665","665","6518","6518","6518","665","665","665","306","306","306","665","665","665","2482","2482","2482","665","665","665","6008","6008","6008"
"167","669","669","669","832","832","832","669","669","669","4435","4435","4435","669","669","669","6637","6637","6637","669","669","669","570","570","570","669","669","669","3738","3738","3738","669","669","669","6443","6443","6443","669","669","669","301","301","301","669","669","669","2481","2481","2481","669","669","669","6017","6017","6017"
"168","673","673","673","839","839","839","673","673","673","4438","4438","4438","673","673","673","6640","6640","6640","673","673","673","581","581","581","673","673","673","3684","3684","3684","673","673","673","6512","6512","6512","673","673","673","302","302","302","673","673","673","2448","2448","2448","673","673","673","5968","5968","5968"
"169","677","677","677","856","856","856","677","677","677","4460","4460","4460","677","677","677","6668","6668","6668","677","677","677","594","594","594","677","677","677","3767","3767","3767","677","677","677","6426","6426","6426","677","677","677","307","307","307","677","677","677","2487","2487","2487","677","677","677","6046","6046","6046"
"170","681","681","681","841","841","841","681","681","681","4434","4434","4434","681","681","681","6658","6658","6658","681","681","681","579","579","579","681","681","681","3672","3672","3672","681","681","681","6454","6454","6454","681","681","681","302","302","302","681","681","681","2444","2444","2444","681","681","681","5982","5982","5982"
"171","685","685","685","842","842","842","685","685","685","4486","4486","4486","685","685","685","6675","6675","6675","685","685","685","589","589","589","685","685","685","3739","3739","3739","685","685","685","6467","6467","6467","685","685","685","303","303","303","685","685","685","2483","2483","2483","685","685","685","6024","6024","6024"
"172","689","689","689","848","848","848","689","689","689","4391","4391","4391","689","689","689","6693","6693","6693","689","689","689","595","595","595","689","689","689","3689","3689","3689","689","689","689","6502","6502","6502","689","689","689","307","307","307","689","689","689","2464","2464","2464","689","689","689","5987","5987","5987"
"173","693","693","693","844","844","844","693","693","693","4484","4484","4484","693","693","693","6613","6613","6613","693","693","693","590","590","590","693","693","693","3731","3731","3731","693","693","693","6453","6453","6453","693","693","693","307","307","307","693","693","693","2494","2494","2494","693","693","693","6021","6021","6021"
"174","697","697","697","851","851","851","697","697","697","4473","4473","4473","697","697","697","6704","6704","6704","697","697","697","581","581","581","697","697","697","3723","3723","3723","697","697","697","6475","6475","6475","697","697","697","307","307","307","697","697","697","2458","2458","2458","697","697","697","5989","5989","5989"
"175","701","701","701","855","855","855","701","701","701","4493","4493","4493","701","701","701","6634","6634","6634","701","701","701","586","586","586","701","701","701","3742","3742","3742","701","701","701","6436","6436","6436","701","701","701","305","305","305","701","701","701","2467","2467","2467","701","701","701","6027","6027","6027"
"176","705","705","705","843","843","843","705","705","705","4425","4425","4425","705","705","705","6701","6701","6701","705","705","705","583","583","583","705","705","705","3742","3742","3742","705","705","705","6480","6480","6480","705","705","705","305","305","305","705","705","705","2477","2477","2477","705","705","705","6005","6005","6005"
"177","709","709","709","861","861","861","709","709","709","4477","4477","4477","709","709","709","6679","6679","6679","709","709","709","582","582","582","709","709","709","3750","3750","3750","709","709","709","6490","6490","6490","709","709","709","308","308","308","709","709","709","2468","2468","2468","709","709","709","6005","6005","6005"
